staycation-worker
date,stream,content
2026/03/22 04:36:09,stdout,Updated deal for series 7cbb9d2e48edecdd55b44241a92aeceb7cfaa3135207f07def4f3b6efe83a05d

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: 1d6183415d240997afbc42ec6d4ca77a6e295e11069a6c59211b938a09d9ab7a

2026/03/22 04:36:09,stdout,Updated deal for series 4655777e7379329f3e9ba76128825f33286d0b18e5a67166d393fc107f22edeb

2026/03/22 04:36:09,stdout,Insight already exists for dedupe key: ca21ebbbfc7705c391434378ed05bf115c6d16148cf9532f1f33bb09854b938d

2026/03/22 04:36:09,stdout,Updated deal for series 31d3fe02540501f7d432ce42b3b0564e775d1349cd3d3daeda78b834660325ed

2026/03/22 04:36:09,stdout,✅ Monitor job e29420b7f8b4e284bbd8f45cefb485c32b14c7201ae2e0491378156e6da4c18d completed

2026/03/22 04:36:09,stdout,Found 18 distinct series for fingerprint 691c4b36-25e7-418a-915c-1dec235d5968

2026/03/22 04:36:09,stdout,🧠 Generating insights for fingerprint 691c4b36-25e7-418a-915c-1dec235d5968

2026/03/22 04:36:09,stdout,   Found 31 offers from butlins

2026/03/22 04:36:08,stdout,💾 Stored 12/12 observations

2026/03/22 04:36:07,stdout,✅ Found 12 results for fingerprint 691c4b36-25e7-418a-915c-1dec235d5968

2026/03/22 04:36:07,stdout,✅ Parsed 12 valid results from Hoseasons API

2026/03/22 04:36:07,stdout,📦 Processing 12 properties from API...

2026/03/22 04:36:07,stdout,✅ Successfully intercepted search results API

2026/03/22 04:36:07,stdout,⏳ Waiting for API response (interception)...

2026/03/22 04:36:05,stdout,🍪 Checking for cookie banner...

2026/03/22 04:36:05,stdout,✅ Site loaded (WAF passed)

2026/03/22 04:36:05,stdout,🎯 Intercepted API response from: https://www.hoseasons.co.uk/api/search/properties/list?adult=4&child=0&infant=0&pets=1&range=0&nights=4&accommodationType=holiday-parks&placesId=39248&regionName=Devon&start=17-08-2026&page=1&sort=recommended&displayMode=LIST&index=search&accommodationTypes=&features=&siteFeatures=&brand=hoseasons

2026/03/22 04:36:04,stdout,PAGE LOG: Optimizely Places Data is not in the correct format or is undefined for variable key: places_api_mfe_prd

2026/03/22 04:36:04,stdout,PAGE LOG: Optimizely Places Data is not in the correct format or is undefined for variable key: places_api_mfe_prd

2026/03/22 04:36:04,stdout,PAGE LOG: Optimizely Places Data is not in the correct format or is undefined for variable key: places_api_mfe_prd

2026/03/22 04:36:03,stdout,PAGE LOG: Optimizely Places Data is not in the correct format or is undefined for variable key: places_api_mfe_prd

2026/03/22 04:36:03,stdout,⏳ Waiting for WAF challenge / Site load...

2026/03/22 04:36:01,stdout,🌐 Navigating to search page...

2026/03/22 04:36:01,stdout,🔗 Navigating to: https://www.hoseasons.co.uk/search?placesId=39248&regionName=Devon&accommodationType=holiday-parks&adult=4&pets=1&start=17-08-2026&nights=4&range=0&page=1&sort=recommended&displayMode=LIST

2026/03/22 04:36:01,stdout,🛍️ Scanning deals for Butlins...

2026/03/22 04:36:01,stdout,   Found 0 offers from centerparcs

2026/03/22 04:36:01,stdout,🛍️ Scanning deals for Center Parcs...

2026/03/22 04:36:01,stdout,   Found 0 offers from haven

2026/03/22 04:35:58,stdout,🛍️ Scanning deals for Haven...

2026/03/22 04:35:58,stdout,   Found 0 offers from hoseasons

2026/03/22 04:35:55,stdout,🛍️ Scanning deals for Hoseasons...

2026/03/22 04:35:55,stdout,🔍 Monitoring fingerprint 691c4b36-25e7-418a-915c-1dec235d5968 via 4dbc467c-7e67-415e-a73c-fe711670378c

2026/03/22 04:35:55,stdout,🛍️ Starting global deal scan...

2026/03/22 04:35:55,stdout,⏰ Queued daily deal scan (idempotent)

2026/03/22 04:35:55,stdout,✅ Successfully scheduled 1 monitor jobs.

2026/03/22 04:35:55,stdout,⏰ Found 1 fingerprints due for monitoring.

2026/03/22 04:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 03:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 03:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 02:35:55,stdout,Hz No monitoring jobs due at this time.

2026/03/22 02:35:55,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 02:35:55,stdout,⏰ Scheduler started (Interval: 1 hour)

2026/03/22 02:35:55,stdout,   - Alert worker: alerts

2026/03/22 02:35:55,stdout,   - Insight worker: insights

2026/03/22 02:35:55,stdout,   - Monitor worker: monitor

2026/03/22 02:35:55,stdout,✅ Worker started and listening for jobs

2026/03/22 02:35:55,stdout,✅ Database connection established

2026/03/22 02:35:55,stdout,✅ Redis connected

2026/03/22 02:35:55,stdout,🔧 Initializing worker...

2026/03/22 02:35:55,stdout,📝 Email service configured to LOG mode

2026/03/22 02:31:21,stdout,🔕 Scheduler stopped

2026/03/22 02:31:21,stdout,"📴 SIGTERM received, closing workers...
"
2026/03/22 01:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/22 01:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/22 00:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/22 00:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 23:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 23:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 22:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 22:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 21:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 21:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 20:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 20:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 19:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 19:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 18:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 18:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 17:37:09,stdout,✅ Monitor job 5a5d9eb59f43d04dfa25a9d5bf93f50a977db97b82193ef409c43aed47e3a63e completed

2026/03/21 17:37:09,stdout,💾 Stored 466/466 observations

2026/03/21 17:36:31,stdout,✅ Found 466 results for fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37

2026/03/21 17:36:20,stdout,Fetching search results from: https://www.awayresorts.co.uk/search/?parkID=7&from=2026-08-17&to=2026-08-24&adults=4&children=0

2026/03/21 17:36:20,stdout,🔍 Monitoring fingerprint a7e90a7b-2af1-4145-82b9-bdc13eea9f37 via 14940977-4200-4ca0-a517-66846b353c2b

2026/03/21 17:36:20,stdout,⏰ Queued daily deal scan (idempotent)

2026/03/21 17:36:20,stdout,✅ Successfully scheduled 1 monitor jobs.

2026/03/21 17:36:20,stdout,⏰ Found 1 fingerprints due for monitoring.

2026/03/21 17:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 16:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 16:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 15:36:25,stdout,✅ Monitor job b3da23b3752ace2ff9408d7a10762c957a6155aa5fbe8528531e2ef34c54e591 completed

2026/03/21 15:36:24,stdout,💾 Stored 12/12 observations

2026/03/21 15:36:24,stdout,✅ Found 12 results for fingerprint 691c4b36-25e7-418a-915c-1dec235d5968

2026/03/21 15:36:24,stdout,✅ Parsed 12 valid results from Hoseasons API

2026/03/21 15:36:24,stdout,📦 Processing 12 properties from API...

2026/03/21 15:36:23,stdout,✅ Successfully intercepted search results API

2026/03/21 15:36:23,stdout,⏳ Waiting for API response (interception)...

2026/03/21 15:36:22,stdout,🎯 Intercepted API response from: https://www.hoseasons.co.uk/api/search/properties/list?adult=4&child=0&infant=0&pets=1&range=0&nights=4&accommodationType=holiday-parks&placesId=39248&regionName=Devon&start=17-08-2026&page=1&sort=recommended&displayMode=LIST&index=search&accommodationTypes=&features=&siteFeatures=&brand=hoseasons

2026/03/21 15:36:22,stdout,🍪 Checking for cookie banner...

2026/03/21 15:36:22,stdout,✅ Site loaded (WAF passed)

2026/03/21 15:36:21,stdout,⏳ Waiting for WAF challenge / Site load...

2026/03/21 15:36:20,stdout,🌐 Navigating to search page...

2026/03/21 15:36:20,stdout,🔗 Navigating to: https://www.hoseasons.co.uk/search?placesId=39248&regionName=Devon&accommodationType=holiday-parks&adult=4&pets=1&start=17-08-2026&nights=4&range=0&page=1&sort=recommended&displayMode=LIST

2026/03/21 15:36:20,stdout,✅ ID Cache Hit for "Devon": 39248

2026/03/21 15:36:20,stdout,🔍 Monitoring fingerprint 691c4b36-25e7-418a-915c-1dec235d5968 via 4dbc467c-7e67-415e-a73c-fe711670378c

2026/03/21 15:36:20,stdout,⏰ Queued daily deal scan (idempotent)

2026/03/21 15:36:20,stdout,✅ Successfully scheduled 1 monitor jobs.

2026/03/21 15:36:20,stdout,⏰ Found 1 fingerprints due for monitoring.

2026/03/21 15:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 14:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 14:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 13:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 13:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 12:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 12:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 11:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 11:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 10:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 10:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 09:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 09:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 08:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 08:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 07:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 07:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 06:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 06:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 05:36:20,stdout,Hz No monitoring jobs due at this time.

2026/03/21 05:36:20,stdout,⏰ Running scheduled check for due monitor jobs...

2026/03/21 04:36:56,stdout,✅ Alert job alert:d35aad20-67fe-437b-ba6c-5243ad0dcbb5:674e1e81-a42a-45f7-a652-c726ac81a92e completed

2026/03/21 04:36:56,stdout,✅ Alert d80380f6-b88a-451b-9863-c6571ea92f62 created and sent

2026/03/21 04:36:56,stdout,✅ Alert email sent to james@admin.com

2026/03/21 04:36:56,stderr,"⚠️  Email service not configured, logging email instead:
"
2026/03/21 04:36:56,stdout,}

2026/03/21 04:36:56,stdout,  "text": "Price Alert: Summer ParkDean\n\nLowest price in 180 days: £1144.00\n\nView details at: http://192.168.4.2:3000/dashboard"

2026/03/21 04:36:56,stdout,"  \"html\": \"\n        <h1>🎯 Price Alert!</h1>\n        <h2>Summer ParkDean</h2>\n        <p><strong>Lowest price in 180 days: £1144.00</strong></p>\n        <div style=\\"background: #f5f5f5; padding: 15px; margin: 20px 0; border-radius: 5px;\\">\n          <pre>{\n  \\"seriesKey\\": \\"8a82ac00b4bbde1a44a73dc944a1a8c684853e373984f100f4035b9552b0e938\\",\n  \\"stayNights\\": 7,\n  \\"windowDays\\": 180,\n  \\"previousMin\\": 1144,\n  \\"currentPrice\\": \\"1144.00\\",\n  \\"stayStartDate\\": \\"2026-08-17\\",\n  \\"observationCount\\": 199\n}</pre>\n        </div>\n        <p><a href=\\"http://192.168.4.2:3000/dashboard\\">View in Dashboard</a></p>\n      \",
"
2026/03/21 04:36:56,stdout,"  \"subject\": \"Price Alert: Summer ParkDean\",
"
2026/03/21 04:36:56,stdout,"  \"to\": \"james@admin.com\",
"
2026/03/21 04:36:56,stdout,{

2026/03/21 04:36:56,stdout,✅ Insight job insight:a7e90a7b-2af1-4145-82b9-bdc13eea9f37:2026-03-21 completed

2026/03/21 04:36:56,stdout,📧 Queued 9 alert jobs

2026/03/21 04:36:56,stdout,"📧 Processing alert for user d35aad20-67fe-437b-ba6c-5243ad0dcbb5, insight 674e1e81-a42a-45f7-a652-c726ac81a92e
